Id,ActivityDay,Average_sleep_hours,Average_time_in_bed_hours,Average_calories,Average_steps,TotalDistance
1503960366,12/04/2016,5.45,5.766666667,1985,13162,9
1503960366,13/04/2016,6.4,6.783333333,1797,10735,8
1503960366,15/04/2016,6.866666667,7.366666667,1745,9762,6
1503960366,16/04/2016,5.666666667,6.116666667,1863,12669,8
1503960366,17/04/2016,11.66666667,11.86666667,1728,9705,7
1503960366,19/04/2016,5.066666667,5.333333333,2035,15506,10
1503960366,20/04/2016,6,6.283333333,1786,10544,6
1503960366,21/04/2016,5.416666667,6.066666667,1775,9819,6
1503960366,23/04/2016,6.016666667,6.4,1949,14371,9
1503960366,24/04/2016,7.166666667,7.483333333,1788,10039,6
1503960366,25/04/2016,4.616666667,5.383333333,2013,15355,10
1503960366,26/04/2016,4.083333333,4.566666667,1970,13755,9
1503960366,28/04/2016,6.1,6.55,1898,13154,9
1503960366,29/04/2016,5.683333333,5.9,1837,11181,8
1503960366,30/04/2016,6.733333333,7.083333333,1947,14673,9
1503960366,01/05/2016,6.15,6.6,1820,10602,7
1503960366,02/05/2016,4.616666667,5.15,2004,14727,10
1503960366,03/05/2016,4.55,4.933333333,1990,15103,10
1503960366,05/05/2016,4.116666667,4.4,1959,14070,9
1503960366,06/05/2016,5.566666667,6.116666667,1896,12159,8
1503960366,07/05/2016,5.516666667,5.816666667,1821,11992,7
1503960366,08/05/2016,9.9,10.18333333,1740,10060,7
1503960366,09/05/2016,5.633333333,5.7,1819,12022,8
1503960366,10/05/2016,6.383333333,6.716666667,1859,12207,7
1503960366,11/05/2016,4.75,5.1,1783,12770,9
1644430081,29/04/2016,1.983333333,2.116666667,2498,3176,2
1644430081,30/04/2016,2.066666667,2.366666667,3846,18213,13
1644430081,02/05/2016,13.26666667,16.01666667,2580,3758,2
1644430081,08/05/2016,2.283333333,2.566666667,2987,6724,5
1844505072,15/04/2016,10.73333333,16.01666667,1725,3844,3
1844505072,30/04/2016,12.03333333,16.01666667,1763,4014,3
1844505072,01/05/2016,9.833333333,16.01666667,1541,2573,1
1927972279,12/04/2016,12.5,12.91666667,2220,678,0
1927972279,13/04/2016,6.633333333,7.033333333,2151,356,0
1927972279,15/04/2016,7.916666667,8.316666667,2221,980,1
1927972279,26/04/2016,4.933333333,5.25,2638,3761,3
1927972279,28/04/2016,2.766666667,2.966666667,2351,1675,1
2026352035,12/04/2016,8.383333333,9.1,1459,4414,2
2026352035,13/04/2016,8.85,9.416666667,1521,4993,3
2026352035,14/04/2016,9.083333333,9.466666667,1431,3335,2
2026352035,15/04/2016,8.716666667,9.55,1444,3821,2
2026352035,16/04/2016,8.733333333,9.45,1373,2547,2
2026352035,17/04/2016,7.283333333,8.3,1214,838,1
2026352035,19/04/2016,8.3,9,1356,2424,2
2026352035,20/04/2016,7.683333333,8.5,1667,7222,4
2026352035,21/04/2016,7.95,8.566666667,1370,2467,2
2026352035,22/04/2016,8.666666667,9.083333333,1399,2915,2
2026352035,23/04/2016,8.7,9.233333333,1916,12357,8
2026352035,24/04/2016,9.25,9.85,1401,3490,2
2026352035,25/04/2016,8.433333333,8.85,1576,6017,4
2026352035,27/04/2016,8.466666667,9.083333333,1593,6088,4
2026352035,28/04/2016,8.55,9.083333333,1649,6375,4
2026352035,29/04/2016,8.166666667,8.5,1692,7604,5
2026352035,30/04/2016,9.55,10.11666667,1506,4729,3
2026352035,01/05/2016,8.783333333,9.1,1447,3609,2
2026352035,02/05/2016,8.516666667,9.05,1690,7018,4
2026352035,04/05/2016,8.966666667,9.333333333,1658,6564,4
2026352035,05/05/2016,7.8,8.083333333,1926,12167,8
2026352035,06/05/2016,8.733333333,9.133333333,1736,8198,5
2026352035,07/05/2016,8.516666667,8.683333333,1491,4193,3
2026352035,08/05/2016,9.016666667,9.466666667,1555,5528,3
2026352035,09/05/2016,8.85,9.266666667,1869,10685,7
2026352035,10/05/2016,5.95,6.333333333,1141,254,0
2026352035,11/05/2016,8.716666667,9.216666667,1698,8580,5
2026352035,12/05/2016,7.6,8.083333333,1364,8891,6
2320127002,23/04/2016,1.016666667,1.15,1804,5079,3
2347167796,13/04/2016,7.783333333,8.85,2038,10352,7
2347167796,14/04/2016,7.416666667,8.15,2010,10129,7
2347167796,15/04/2016,7.533333333,8.4,2133,10465,6
2347167796,17/04/2016,9.266666667,10.03333333,1882,5472,3
2347167796,18/04/2016,8.333333333,9.283333333,1944,8247,6
2347167796,19/04/2016,7.75,8.566666667,2346,6711,4
2347167796,21/04/2016,7.666666667,8.066666667,2048,10080,7
2347167796,22/04/2016,6.75,7.683333333,1946,7804,6
2347167796,23/04/2016,6.233333333,6.433333333,2629,16901,11
2347167796,24/04/2016,7.366666667,7.65,2187,9471,6
2347167796,25/04/2016,7.216666667,7.85,2095,9482,7
2347167796,26/04/2016,7.266666667,8.166666667,1861,5980,4
2347167796,27/04/2016,7.466666667,8.316666667,2194,11423,7
2347167796,28/04/2016,6.8,7.5,1854,5439,4
2347167796,29/04/2016,6.85,7.883333333,403,42,0
3977333714,12/04/2016,4.566666667,7.816666667,1450,8856,6
3977333714,13/04/2016,4.916666667,7.6,1495,10035,7
3977333714,14/04/2016,4.85,6.616666667,1433,7641,5
3977333714,15/04/2016,7.066666667,9.266666667,1468,9010,6
3977333714,16/04/2016,4.716666667,8.5,1625,13459,9
3977333714,17/04/2016,6.35,9.433333333,1529,10415,7
3977333714,18/04/2016,6.866666667,8.7,1584,11663,8
3977333714,19/04/2016,3.65,6.583333333,1638,12414,8
3977333714,20/04/2016,2.533333333,5.083333333,1554,11658,7
3977333714,21/04/2016,5.533333333,8.533333333,1397,6093,4
3977333714,22/04/2016,5.916666667,7.933333333,1481,8911,6
3977333714,23/04/2016,3.916666667,6.2,1638,12058,8
3977333714,24/04/2016,5.166666667,8.766666667,1655,14112,10
3977333714,25/04/2016,4.366666667,7.783333333,1570,11177,8
3977333714,26/04/2016,4.166666667,6.183333333,1551,11388,7
3977333714,27/04/2016,5.816666667,9,1377,7193,5
3977333714,28/04/2016,4.35,7.05,1407,7114,4
3977333714,29/04/2016,5.55,7.966666667,1545,10645,8
3977333714,30/04/2016,3.95,6.366666667,1650,13238,9
3977333714,01/05/2016,6.383333333,10.43333333,1501,10414,7
3977333714,02/05/2016,3.833333333,6.4,1760,16520,11
3977333714,03/05/2016,4.866666667,8.333333333,1710,14335,10
3977333714,04/05/2016,3.55,5.6,1628,13559,10
3977333714,05/05/2016,5.3,8,1618,12312,9
3977333714,06/05/2016,5.383333333,8.533333333,1590,11677,9
3977333714,07/05/2016,3.95,7.383333333,1574,11550,8
3977333714,08/05/2016,4.316666667,7.6,1633,13585,9
3977333714,10/05/2016,5.2,7.533333333,1630,13072,8
4020332650,12/04/2016,8.35,9.016666667,3654,8539,6
4020332650,16/04/2016,1.283333333,1.283333333,3051,1982,1
4020332650,03/05/2016,5.366666667,5.533333333,2828,4496,3
4020332650,04/05/2016,7.966666667,8.933333333,3879,10252,8
4020332650,05/05/2016,3.766666667,4.133333333,3429,11728,9
4020332650,06/05/2016,6.416666667,6.8,2704,4369,3
4020332650,08/05/2016,6.066666667,6.7,3089,5862,4
4020332650,10/05/2016,7.366666667,8.233333333,2926,5546,4
4319703577,14/04/2016,8.916666667,9.283333333,2302,10210,6
4319703577,15/04/2016,7.75,8.183333333,1985,5664,4
4319703577,16/04/2016,8.433333333,8.7,1884,4744,3
4319703577,18/04/2016,8.583333333,9.183333333,1632,2276,1
4319703577,19/04/2016,7.683333333,8.3,2200,8925,6
4319703577,20/04/2016,8.716666667,9.05,2220,8954,6
4319703577,21/04/2016,0.983333333,1.083333333,1792,3702,0
4319703577,22/04/2016,8.883333333,9.166666667,1886,4500,3
4319703577,23/04/2016,11.53333333,12.03333333,1945,4935,3
4319703577,24/04/2016,7.783333333,8.35,1880,4081,2
4319703577,25/04/2016,8.133333333,8.433333333,2314,9259,6
4319703577,26/04/2016,8.416666667,8.6,2236,9899,7
4319703577,27/04/2016,4.766666667,5.116666667,2324,10780,7
4319703577,28/04/2016,8.283333333,8.7,2367,10817,7
4319703577,29/04/2016,8.716666667,9.1,2175,7990,5
4319703577,30/04/2016,8.166666667,8.6,2092,8221,6
4319703577,01/05/2016,8.066666667,8.333333333,1593,1251,1
4319703577,02/05/2016,7.966666667,8.433333333,2270,9261,6
4319703577,03/05/2016,7.9,8.533333333,2235,9648,7
4319703577,06/05/2016,7.5,8.183333333,2266,9524,5
