Id,ActivityDay,Calories,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,SedentaryActiveDistance,LightActiveDistance,ModeratelyActiveDistance,VeryActiveDistance,StepTotal
1503960366,12/04/2016,1985,728,328,13,25,0,6,1,2,13162
1503960366,13/04/2016,1797,776,217,19,21,0,5,1,2,10735
1503960366,14/04/2016,1776,1218,181,11,30,0,4,0,2,10460
1503960366,15/04/2016,1745,726,209,34,29,0,3,1,2,9762
1503960366,16/04/2016,1863,773,221,10,36,0,5,0,3,12669
1503960366,17/04/2016,1728,539,164,20,38,0,3,1,3,9705
1503960366,18/04/2016,1921,1149,233,16,42,0,5,1,3,13019
1503960366,19/04/2016,2035,775,264,31,50,0,5,1,4,15506
1503960366,20/04/2016,1786,818,205,12,28,0,4,0,2,10544
1503960366,21/04/2016,1775,838,211,8,19,0,5,0,1,9819
1503960366,22/04/2016,1827,1217,130,27,66,0,2,1,5,12764
1503960366,23/04/2016,1949,732,262,21,41,0,5,1,3,14371
1503960366,24/04/2016,1788,709,238,5,39,0,3,0,3,10039
1503960366,25/04/2016,2013,814,216,14,73,0,4,1,5,15355
1503960366,26/04/2016,1970,833,279,23,31,0,6,1,2,13755
1503960366,27/04/2016,2159,1108,243,11,78,0,5,0,6,18134
1503960366,28/04/2016,1898,782,189,28,48,0,4,1,4,13154
1503960366,29/04/2016,1837,815,243,12,16,0,6,1,1,11181
1503960366,30/04/2016,1947,712,217,34,52,0,4,1,4,14673
1503960366,01/05/2016,1820,730,246,35,33,0,3,2,2,10602
1503960366,02/05/2016,2004,798,277,15,41,0,6,1,3,14727
1503960366,03/05/2016,1990,816,254,24,50,0,5,1,4,15103
1503960366,04/05/2016,1819,1179,203,22,36,0,4,1,2,11100
1503960366,05/05/2016,1959,857,250,24,45,0,5,1,3,14070
1503960366,06/05/2016,1896,754,289,6,24,0,6,0,2,12159
1503960366,07/05/2016,1821,833,175,46,37,0,3,2,2,11992
1503960366,08/05/2016,1740,574,203,8,44,0,3,0,4,10060
1503960366,09/05/2016,1819,835,206,11,46,0,4,1,3,12022
1503960366,10/05/2016,1859,746,214,31,46,0,3,1,3,12207
1503960366,11/05/2016,1783,669,251,23,36,0,5,1,3,12770
1503960366,12/05/2016,0,1440,0,0,0,0,0,0,0,0
1624580081,12/04/2016,1432,1294,146,0,0,0,5,0,0,8163
1624580081,13/04/2016,1411,1292,148,0,0,0,5,0,0,7007
1624580081,14/04/2016,1572,1204,236,0,0,0,6,0,0,9107
1624580081,15/04/2016,1344,1344,96,0,0,0,1,0,0,1510
1624580081,16/04/2016,1463,1264,176,0,0,0,3,0,0,5370
1624580081,17/04/2016,1554,1276,127,22,15,0,1,2,1,6175
1624580081,18/04/2016,1604,1214,202,7,17,0,5,1,2,10536
1624580081,19/04/2016,1435,1299,141,0,0,0,2,0,0,2916
1624580081,20/04/2016,1446,1289,151,0,0,0,3,0,0,4974
1624580081,21/04/2016,1467,1254,186,0,0,0,4,0,0,6349
1624580081,22/04/2016,1470,1241,199,0,0,0,3,0,0,4026
1624580081,23/04/2016,1562,1213,227,0,0,0,6,0,0,8538
1624580081,24/04/2016,1617,1221,185,18,16,0,2,1,1,6076
1624580081,25/04/2016,1492,1238,202,0,0,0,4,0,0,6497
1624580081,26/04/2016,1402,1300,140,0,0,0,2,0,0,2826
1624580081,27/04/2016,1670,1233,154,36,17,0,2,2,1,8367
1624580081,28/04/2016,1401,1320,115,5,0,0,2,0,0,2759
1624580081,29/04/2016,1404,1290,150,0,0,0,2,0,0,2390
1624580081,30/04/2016,1655,1182,224,23,11,0,2,1,1,6474
1624580081,01/05/2016,2690,1020,171,63,186,0,2,4,22,36019
1624580081,02/05/2016,1497,1261,166,6,7,0,3,1,1,7155
1624580081,03/05/2016,1334,1344,96,0,0,0,1,0,0,2100
1624580081,04/05/2016,1368,1322,118,0,0,0,1,0,0,2193
1624580081,05/05/2016,1370,1323,117,0,0,0,2,0,0,2470
1624580081,06/05/2016,1341,1338,102,0,0,0,1,0,0,1727
