Id,ActivityDay,Average_sleep_hours,Average_time_in_bed_hours,Average_calories,Average_steps,TotalDistance
1503960366,12/04/2016,5.45,5.77,1985,13162,9
1503960366,13/04/2016,6.4,6.78,1797,10735,8
1503960366,15/04/2016,6.87,7.37,1745,9762,6
1503960366,16/04/2016,5.67,6.12,1863,12669,8
1503960366,17/04/2016,11.67,11.87,1728,9705,7
1503960366,19/04/2016,5.07,5.33,2035,15506,10
1503960366,20/04/2016,6,6.28,1786,10544,6
1503960366,21/04/2016,5.42,6.07,1775,9819,6
1503960366,23/04/2016,6.02,6.4,1949,14371,9
1503960366,24/04/2016,7.17,7.48,1788,10039,6
1503960366,25/04/2016,4.62,5.38,2013,15355,10
1503960366,26/04/2016,4.08,4.57,1970,13755,9
1503960366,28/04/2016,6.1,6.55,1898,13154,9
1503960366,29/04/2016,5.68,5.9,1837,11181,8
1503960366,30/04/2016,6.73,7.08,1947,14673,9
1503960366,01/05/2016,6.15,6.6,1820,10602,7
1503960366,02/05/2016,4.62,5.15,2004,14727,10
1503960366,03/05/2016,4.55,4.93,1990,15103,10
1503960366,05/05/2016,4.12,4.4,1959,14070,9
1503960366,06/05/2016,5.57,6.12,1896,12159,8
1503960366,07/05/2016,5.52,5.82,1821,11992,7
1503960366,08/05/2016,9.9,10.18,1740,10060,7
1503960366,09/05/2016,5.63,5.7,1819,12022,8
1503960366,10/05/2016,6.38,6.72,1859,12207,7
1503960366,11/05/2016,4.75,5.1,1783,12770,9
1644430081,29/04/2016,1.98,2.12,2498,3176,2
1644430081,30/04/2016,2.07,2.37,3846,18213,13
1644430081,02/05/2016,13.27,16.02,2580,3758,2
1644430081,08/05/2016,2.28,2.57,2987,6724,5
1844505072,15/04/2016,10.73,16.02,1725,3844,3
1844505072,30/04/2016,12.03,16.02,1763,4014,3
1844505072,01/05/2016,9.83,16.02,1541,2573,1
1927972279,12/04/2016,12.5,12.92,2220,678,0
1927972279,13/04/2016,6.63,7.03,2151,356,0
1927972279,15/04/2016,7.92,8.32,2221,980,1
1927972279,26/04/2016,4.93,5.25,2638,3761,3
1927972279,28/04/2016,2.77,2.97,2351,1675,1
2026352035,12/04/2016,8.38,9.1,1459,4414,2
2026352035,13/04/2016,8.85,9.42,1521,4993,3
2026352035,14/04/2016,9.08,9.47,1431,3335,2
2026352035,15/04/2016,8.72,9.55,1444,3821,2
2026352035,16/04/2016,8.73,9.45,1373,2547,2
2026352035,17/04/2016,7.28,8.3,1214,838,1
2026352035,19/04/2016,8.3,9,1356,2424,2
2026352035,20/04/2016,7.68,8.5,1667,7222,4
