,S.No,BrandName,Product ID,Product Name,Brand Desc,Product Size,Currency,MRP,SellPrice,Discount,Category,delta
0,1,4711,FR001,Cologne Fragrance,ekw eau de cologne 400 ml,Small,Rs.,3900.0,3120,20% off,Fragrance-Women,780.0
1,2,109f,DRW1,DRW1 - Westernwear-Women,womens v- neck short dress - yellow,"Size:Medium,Small,X-Large,XX-Large",Rs.,1899.0,569,70% off,Westernwear-Women,1330.0
2,3,109f,DRW2,DRW2 - Westernwear-Women,womens round neck solid top - black,"Size:Large,Medium,Small,X-Large",Rs.,1499.0,599,60% off,Westernwear-Women,900.0
3,4,109f,DRW3,DRW3 - Westernwear-Women,womens round neck stripe shift dress - red,"Size:Medium,Small",Rs.,1599.0,639,60% off,Westernwear-Women,960.0
4,5,109f,DRW4,DRW4 - Westernwear-Women,womens round neck solid high low top - black,"Size:Large,Medium,Small,X-Large",Rs.,1199.0,479,60% off,Westernwear-Women,720.0
5,6,109f,DRW5,DRW5 - Westernwear-Women,womens v-neck solid top - black,"Size:Large,Medium,Small,X-Small",Rs.,1199.0,479,60% off,Westernwear-Women,720.0
6,7,109f,DRW6,DRW6 - Westernwear-Women,womens off shoulder neck checked top - navy,"Size:Small,X-Large",Rs.,1299.0,519,60% off,Westernwear-Women,780.0
7,8,109f,DRW7,DRW7 - Westernwear-Women,womens v neck checked top - black,"Size:Large,Medium,Small",Rs.,1499.0,599,60% off,Westernwear-Women,900.0
8,9,109f,DRW8,DRW8 - Westernwear-Women,womens round neck solid shift dress - black,Size:Medium,Rs.,1799.0,719,60% off,Westernwear-Women,1080.0
9,10,109f,DRW9,DRW9 - Westernwear-Women,womens round neck solid top - black,"Size:Large,Medium,X-Large,XX-Large",Rs.,999.0,399,60% off,Westernwear-Women,600.0
10,11,109f,DRW10,DRW10 - Westernwear-Women,womens spaghetti neck printed top - natural,"Size:Large,Medium,Small,X-Large,XX-Large",Rs.,1299.0,519,60% off,Westernwear-Women,780.0
11,12,109f,DRW11,DRW11 - Westernwear-Women,womens round neck embroidered top - black,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large",Rs.,2499.0,999,60% off,Westernwear-Women,1500.0
12,13,109f,DRW12,DRW12 - Westernwear-Women,womens mandarin collar solid eyelet skater dress - green,"Size:X-Large,XX-Large",Rs.,3499.0,1399,60% off,Westernwear-Women,2100.0
13,14,109f,DRW13,DRW13 - Westernwear-Women,womens off shoulder solid shift dress - blue,"Size:Small,X-Small",Rs.,1799.0,539,70% off,Westernwear-Women,1260.0
14,15,109f,DRW14,DRW14 - Westernwear-Women,womens round neck embroidered top - cream,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large",Rs.,1999.0,799,60% off,Westernwear-Women,1200.0
15,16,109f,DRW15,DRW15 - Westernwear-Women,womens 2 pocket solid pants - navy,"Size:Small,X-Small",Rs.,1899.0,759,60% off,Westernwear-Women,1140.0
16,17,109f,DRW16,DRW16 - Westernwear-Women,womens ruffled collar self printed top - natural,"Size:Large,Medium,Small,X-Large,XX-Large",Rs.,1499.0,599,60% off,Westernwear-Women,900.0
17,18,109f,DRW17,DRW17 - Westernwear-Women,womens round neck solid top - birch,Size:X-Small,Rs.,1199.0,479,60% off,Westernwear-Women,720.0
18,19,109f,DRW18,DRW18 - Westernwear-Women,womens round neck solid knee length dress - black,Size:X-Small,Rs.,1999.0,799,60% off,Westernwear-Women,1200.0
19,20,109f,DRW19,DRW19 - Westernwear-Women,womens scoop neck lace top - dark brown,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",Rs.,1799.0,719,60% off,Westernwear-Women,1080.0
20,21,109f,DRW20,DRW20 - Westernwear-Women,printed polyester cowl neck womens dress - multi,"Size:Large,Medium,X-Large",Rs.,2418.9,2199,10% off,Westernwear-Women,219.9000000000001
21,22,109f,DRW21,DRW21 - Westernwear-Women,printed rayon round neck womens top - print,"Size:Large,Medium,Small,X-Large,XX-Large",Rs.,1868.9,1699,10% off,Westernwear-Women,169.9000000000001
22,23,109f,DRW22,DRW22 - Westernwear-Women,womens round neck textured maxi dress - black,"Size:Large,Small",Rs.,2899.0,1159,60% off,Westernwear-Women,1740.0
23,24,109f,DRW23,DRW23 - Westernwear-Women,solid polyester halter neck womens top - olive,"Size:Large,Medium,X-Large,XX-Large",Rs.,1648.9,1499,10% off,Westernwear-Women,149.9000000000001
24,25,109f,DRW24,DRW24 - Westernwear-Women,womens tie up neck embroidered top - black,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large",Rs.,1978.9,1799,10% off,Westernwear-Women,179.9000000000001
25,26,109f,DRW25,DRW25 - Westernwear-Women,womens 2 pocket solid trousers - green,Size:X-Small,Rs.,1499.0,599,60% off,Westernwear-Women,900.0
26,27,109f,DRW26,DRW26 - Westernwear-Women,womens off shoulder neck embroidered top - blue,"Size:Large,Medium,Small,X-Large,XX-Large",Rs.,1499.0,599,60% off,Westernwear-Women,900.0
27,28,109f,DRW27,DRW27 - Westernwear-Women,womens peter pan collar solid a-line dress - black,Size:Small,Rs.,2399.0,959,60% off,Westernwear-Women,1440.0
28,29,109f,DRW28,DRW28 - Westernwear-Women,womens embroidered casual skirt - grey,"Size:Small,XX-Large",Rs.,2499.0,999,60% off,Westernwear-Women,1500.0
29,30,109f,DRW29,DRW29 - Westernwear-Women,womens open front neck slub long shrug - grey,Size:Small,Rs.,1799.0,719,60% off,Westernwear-Women,1080.0
30,31,109f,DRW30,DRW30 - Westernwear-Women,womens mandarin collar striped long shirt - lime green,Size:Small,Rs.,1599.0,639,60% off,Westernwear-Women,960.0
31,32,109f,DRW31,DRW31 - Westernwear-Women,stripes shirt collar rayon womens casual shirt - off white,"Size:Large,Medium,Small,XX-Large",Rs.,1758.9,1599,10% off,Westernwear-Women,159.9000000000001
32,33,109f,DRW32,DRW32 - Westernwear-Women,womens cold shoulder sleeves self pattern top - birch,"Size:Large,Small,X-Large,XX-Large",Rs.,2299.0,919,60% off,Westernwear-Women,1380.0
33,34,109f,DRW33,DRW33 - Westernwear-Women,womens strappy neck printed maxi dress - black,"Size:Small,X-Small",Rs.,2499.0,999,60% off,Westernwear-Women,1500.0
34,35,109f,DRW34,DRW34 - Westernwear-Women,printed polyester round neck womens sweatshirt - maroon,"Size:Large,Medium,X-Large,XX-Large",Rs.,2748.9,2499,10% off,Westernwear-Women,249.9000000000001
35,36,109f,DRW35,DRW35 - Westernwear-Women,womens mandarin neck solid knee length dress - black,"Size:Large,Medium,X-Large",Rs.,2499.0,999,60% off,Westernwear-Women,1500.0
36,37,109f,DRW36,DRW36 - Westernwear-Women,womens round neck floral print tunic - yellow,Size:Medium,Rs.,1799.0,719,60% off,Westernwear-Women,1080.0
37,38,109f,DRW37,DRW37 - Westernwear-Women,womens off shoulder stripe embroidered top - red,"Size:Large,Medium,Small",Rs.,999.0,399,60% off,Westernwear-Women,600.0
38,39,109f,DRW38,DRW38 - Westernwear-Women,womens 5 pocket solid pants - navy,"Size:Large,Medium,Small,X-Large,X-Small",Rs.,2899.0,1159,60% off,Westernwear-Women,1740.0
39,40,109f,DRW39,DRW39 - Westernwear-Women,womens round neck solid jumpsuit - dark brown,Size:Large,Rs.,1999.0,799,60% off,Westernwear-Women,1200.0
40,41,109f,DRW40,DRW40 - Westernwear-Women,womens one shoulder printed top - multi,"Size:Small,X-Large,X-Small",Rs.,1428.9,1299,10% off,Westernwear-Women,129.9000000000001
41,42,109f,DRW41,DRW41 - Westernwear-Women,womens round neck textured top - green,Size:XX-Large,Rs.,999.0,399,60% off,Westernwear-Women,600.0
42,43,109f,DRW42,DRW42 - Westernwear-Women,womens collared stripe top - black,"Size:Large,Medium,Small,X-Small",Rs.,1199.0,479,60% off,Westernwear-Women,720.0
