S.No,BrandName,Product ID,Product Name,Brand Desc,Product Size,Currancy,MRP,SellPrice,Discount,Category
1,4711,FR001,Cologne Fragrance,ekw eau de cologne 400 ml,Small,Rs.,3900,3120,20% off,Fragrance-Women
2,109f,DRW1,DRW1 - Westernwear-Women,womens v- neck short dress - yellow,"Size:Medium,Small,X-Large,XX-Large",Rs.,1899,569,70% off,Westernwear-Women
3,109f,DRW2,DRW2 - Westernwear-Women,womens round neck solid top - black,"Size:Large,Medium,Small,X-Large",Rs.,1499,599,60% off,Westernwear-Women
4,109f,DRW3,DRW3 - Westernwear-Women,womens round neck stripe shift dress - red,"Size:Medium,Small",Rs.,1599,639,60% off,Westernwear-Women
5,109f,DRW4,DRW4 - Westernwear-Women,womens round neck solid high low top - black,"Size:Large,Medium,Small,X-Large",Rs.,1199,479,60% off,Westernwear-Women
6,109f,DRW5,DRW5 - Westernwear-Women,womens v-neck solid top - black,"Size:Large,Medium,Small,X-Small",Rs.,1199,479,60% off,Westernwear-Women
7,109f,DRW6,DRW6 - Westernwear-Women,womens off shoulder neck checked top - navy,"Size:Small,X-Large",Rs.,1299,519,60% off,Westernwear-Women
8,109f,DRW7,DRW7 - Westernwear-Women,womens v neck checked top - black,"Size:Large,Medium,Small",Rs.,1499,599,60% off,Westernwear-Women
9,109f,DRW8,DRW8 - Westernwear-Women,womens round neck solid shift dress - black,Size:Medium,Rs.,1799,719,60% off,Westernwear-Women
10,109f,DRW9,DRW9 - Westernwear-Women,womens round neck solid top - black,"Size:Large,Medium,X-Large,XX-Large",Rs.,999,399,60% off,Westernwear-Women
11,109f,DRW10,DRW10 - Westernwear-Women,womens spaghetti neck printed top - natural,"Size:Large,Medium,Small,X-Large,XX-Large",Rs.,1299,519,60% off,Westernwear-Women
12,109f,DRW11,DRW11 - Westernwear-Women,womens round neck embroidered top - black,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large",Rs.,2499,999,60% off,Westernwear-Women
